Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-19 15:56:18	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 15:56:23	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 15:56:28	0.00	0.00	1.05	4.14	-3.09	0
2017-4-19 15:56:33	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 15:56:38	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 15:56:43	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 15:56:48	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 15:56:53	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 15:56:58	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 15:57:3	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 15:57:8	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 15:57:13	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 15:57:18	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 15:57:23	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 15:57:28	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 15:57:33	0.00	0.00	1.05	4.14	-3.09	0
2017-4-19 15:57:38	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 15:57:43	0.00	0.00	1.05	4.03	-2.98	0
2017-4-19 15:57:48	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 15:57:53	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 15:57:58	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 15:58:3	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 15:58:8	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 15:58:13	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 15:58:18	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 15:58:23	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 15:58:28	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 15:58:33	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 15:58:38	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 15:58:43	0.00	0.00	1.05	4.05	-3.00	0
2017-4-19 15:58:48	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 15:58:53	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 15:58:58	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 15:59:3	0.00	0.00	1.05	4.18	-3.13	0
2017-4-19 15:59:8	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 15:59:13	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 15:59:18	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 15:59:23	0.00	0.00	1.05	4.09	-3.04	0
2017-4-19 15:59:28	0.00	0.00	1.05	4.14	-3.09	0
2017-4-19 15:59:33	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 15:59:38	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 15:59:43	0.00	0.00	1.05	4.07	-3.02	0
2017-4-19 15:59:48	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 15:59:53	0.00	0.00	1.05	4.08	-3.03	0
2017-4-19 15:59:58	0.00	0.00	1.05	4.04	-2.99	0
2017-4-19 15:60:3	0.00	0.00	1.05	4.17	-3.12	0
2017-4-19 15:60:8	0.00	0.00	1.05	4.20	-3.15	0
2017-4-19 15:60:13	0.00	0.00	1.05	4.16	-3.11	0
2017-4-19 15:60:18	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 15:60:23	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 15:60:28	0.00	0.00	1.05	4.11	-3.06	0
2017-4-19 15:60:33	0.00	0.00	1.05	4.08	-3.03	0
2017-4-19 15:60:38	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 15:60:43	0.00	0.00	1.05	4.15	-3.10	0
2017-4-19 15:60:48	0.00	0.00	1.05	4.12	-3.07	0
2017-4-19 15:60:53	0.00	0.00	1.05	4.13	-3.08	0
2017-4-19 15:60:58	0.00	0.00	1.05	4.10	-3.05	0
2017-4-19 16:1:3	0.00	0.00	1.05	4.09	-3.04	0
