Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-19 24:4:20	0.00	0.00	1.05	36.70	-35.65	0
2017-4-19 24:4:25	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:4:30	0.00	0.00	1.05	1.82	-0.77	0
2017-4-19 24:4:35	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:4:40	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:4:45	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:4:50	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:4:55	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:5:0	0.00	0.00	1.05	1.87	-0.82	0
2017-4-19 24:5:5	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:5:10	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:5:15	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:5:20	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:5:25	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:5:30	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:5:35	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:5:40	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:5:45	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:5:50	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:5:55	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:6:0	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:6:5	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:6:10	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:6:15	0.00	0.00	1.05	2.00	-0.95	0
2017-4-19 24:6:20	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:6:25	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:6:30	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:6:35	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:6:40	0.00	0.00	1.05	2.08	-1.03	0
