Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-21 9:52:27	0,00	0,00	1,05	36,70	-35,65	0
2017-4-21 9:52:32	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:52:37	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:52:42	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:52:47	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:52:52	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:52:57	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:53:2	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:53:7	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:53:12	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:53:17	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:53:22	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:53:27	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:53:32	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:53:37	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:53:42	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:53:47	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:53:52	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:53:57	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:54:2	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:54:7	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:54:12	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:54:17	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:54:22	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:54:27	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:54:32	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:54:37	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:54:42	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:54:47	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:54:52	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:54:57	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:55:2	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:55:7	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:55:12	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:55:17	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:55:22	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:55:27	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:55:33	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:55:38	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:55:43	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:55:48	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:55:53	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:55:58	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:56:3	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:56:8	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:56:13	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:56:18	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:56:23	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:56:28	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:56:33	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:56:38	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:56:43	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:56:48	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:56:53	0,00	0,00	1,05	1,82	-0,77	0
2017-4-21 9:56:58	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:57:3	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:57:8	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:57:13	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:57:18	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:57:23	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:57:28	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:57:33	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:57:38	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:57:43	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:57:48	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:57:53	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:57:58	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:58:3	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:58:8	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:58:13	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:58:18	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:58:23	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:58:28	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:58:33	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:58:38	0,00	0,00	1,05	2,17	-1,12	0
2017-4-21 9:58:43	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:58:48	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:58:53	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:58:58	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:59:3	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:59:8	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 9:59:13	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:59:18	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:59:23	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:59:28	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:59:33	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:59:38	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:59:43	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 9:59:48	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:59:53	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 9:59:58	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:60:3	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:60:8	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:60:13	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:60:18	0,00	0,00	1,05	1,82	-0,77	0
2017-4-21 9:60:23	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:60:28	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 9:60:33	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:60:38	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:60:43	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 9:60:48	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:60:53	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 9:60:58	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:3	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:8	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:13	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:18	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:23	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:28	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:1:33	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:38	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:43	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:48	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:1:53	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:1:58	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:2:3	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:2:8	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:2:13	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:2:18	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:2:23	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:2:28	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:2:33	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:2:38	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:2:43	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:2:48	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:2:53	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:2:58	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:3:3	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:3:8	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:3:13	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:3:18	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:3:23	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:3:28	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:3:33	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:3:38	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:3:43	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:3:48	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:3:53	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:3:58	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:4:3	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:4:8	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:4:13	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:4:18	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:4:23	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:4:28	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:4:34	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:4:39	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:4:44	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:4:49	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:4:54	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:4:59	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:5:4	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:5:9	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:5:14	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:5:19	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:5:24	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:5:29	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:5:34	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:5:39	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:5:44	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:5:49	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:5:54	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:5:59	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:6:4	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:6:9	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:6:14	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:6:19	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:6:24	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:6:29	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:6:34	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:6:39	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:6:44	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:6:49	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:6:54	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:6:59	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:7:4	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:7:9	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:7:14	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:7:19	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:7:24	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:7:29	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:7:34	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:7:39	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:7:44	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:7:49	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:7:54	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:7:59	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:8:4	0,00	0,00	1,05	1,74	-0,69	0
2017-4-21 10:8:9	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:8:14	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:8:19	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:8:24	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:8:29	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:8:34	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:8:39	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:8:44	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:8:49	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:8:54	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:8:59	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:9:4	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:9:9	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:9:14	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:9:19	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:9:24	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:9:29	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:9:34	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:9:39	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:9:44	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:9:49	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:9:54	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:9:59	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:10:4	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:10:9	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:10:14	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:10:19	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:10:24	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:10:29	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:10:34	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:10:39	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:10:44	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:10:49	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:10:54	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:10:59	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:11:4	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:11:9	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:11:14	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:11:19	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:11:24	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:11:29	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:11:34	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:11:39	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:11:44	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:11:49	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:11:54	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:11:59	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:12:4	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:12:9	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:12:14	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:12:19	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:12:24	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:12:29	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:12:34	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:12:39	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:12:44	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:12:49	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:12:54	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:12:59	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:13:4	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:13:9	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:13:14	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:13:19	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:13:24	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:13:29	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:13:34	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:13:39	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:13:44	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:13:49	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:13:54	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:13:59	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:14:4	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:14:9	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:14:14	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:14:19	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:14:25	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:14:30	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:14:35	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:14:40	0,00	0,00	1,05	1,82	-0,77	0
2017-4-21 10:14:45	0,00	0,00	1,05	1,82	-0,77	0
2017-4-21 10:14:50	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:14:55	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:15:0	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:15:5	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:15:10	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:15:15	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:15:20	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:15:25	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:15:30	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:15:35	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:15:40	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:15:45	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:15:50	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:15:55	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:16:0	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:16:5	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:16:10	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:16:15	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:16:20	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:16:25	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:16:30	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:16:35	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:16:40	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:16:45	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:16:50	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:16:55	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:17:0	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:17:5	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:17:10	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:17:15	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:17:20	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:17:25	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:17:30	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:17:35	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:17:40	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:17:45	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:17:50	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:17:55	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:18:0	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:18:5	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:18:10	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:18:15	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:18:20	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:18:25	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:18:30	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:18:35	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:18:40	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:18:45	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:18:50	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:18:55	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:19:0	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:19:5	0,00	0,00	1,05	2,04	-0,99	0
