Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-18 4:5:24	0.00	0.00	1.05	0.07	0.98	1
2017-4-18 4:5:30	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 4:5:35	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 4:5:40	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 4:5:45	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:5:50	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:5:55	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 4:6:0	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:6:5	0.00	0.00	1.05	7.95	-6.90	0
2017-4-18 4:6:10	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 4:6:15	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:6:20	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:6:25	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:6:30	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:6:35	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 4:6:40	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 4:6:45	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:6:50	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 4:6:55	0.00	0.00	1.05	8.11	-7.06	0
2017-4-18 4:7:0	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 4:7:5	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:7:11	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:7:16	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:7:21	0.00	0.00	1.05	8.11	-7.06	0
2017-4-18 4:7:26	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 4:7:31	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 4:7:36	0.00	0.00	1.05	8.02	-6.97	0
2017-4-18 4:7:41	0.00	0.00	1.05	8.02	-6.97	0
2017-4-18 4:7:46	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 4:7:51	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:7:56	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:8:1	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 4:8:6	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:8:11	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 4:8:16	0.00	0.00	1.05	8.10	-7.05	0
2017-4-18 4:8:21	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:8:26	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 4:8:31	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 4:8:36	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 4:8:41	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:8:46	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:8:51	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:8:56	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 4:9:1	0.00	0.00	1.05	8.11	-7.06	0
2017-4-18 4:9:6	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 4:9:11	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 4:9:16	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 4:9:21	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:9:26	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:9:31	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 4:9:36	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 4:9:41	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:9:46	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:9:51	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:9:56	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 4:10:1	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 4:10:6	0.00	0.00	1.05	8.08	-7.03	0
2017-4-18 4:10:11	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 4:10:16	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:10:21	0.00	0.00	1.05	8.01	-6.96	0
2017-4-18 4:10:26	0.00	0.00	1.05	8.02	-6.97	0
2017-4-18 4:10:31	0.00	0.00	1.05	8.03	-6.98	0
2017-4-18 4:10:36	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 4:10:41	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 4:10:46	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:10:51	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:10:56	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 4:11:1	0.00	0.00	1.05	8.02	-6.97	0
2017-4-18 4:11:6	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:11:11	0.00	0.00	1.05	8.11	-7.06	0
2017-4-18 4:11:16	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:11:21	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 4:11:26	0.00	0.00	1.05	8.01	-6.96	0
2017-4-18 4:11:31	0.00	0.00	1.05	8.07	-7.02	0
2017-4-18 4:11:36	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 4:11:41	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:11:46	0.00	0.00	1.05	8.06	-7.01	0
2017-4-18 4:11:51	0.00	0.00	1.05	8.10	-7.05	0
2017-4-18 4:11:56	0.00	0.00	1.05	8.11	-7.06	0
2017-4-18 4:12:1	0.00	0.00	1.05	8.04	-6.99	0
2017-4-18 4:12:6	0.00	0.00	1.05	8.05	-7.00	0
2017-4-18 4:12:11	0.00	0.00	1.05	8.09	-7.04	0
2017-4-18 4:12:16	0.00	0.00	1.05	8.02	-6.97	0
