Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 8:4:16	0.00	0.00	1.05	0.07	0.98	1
2017-4-17 8:4:21	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:4:26	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 8:4:31	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:4:36	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:4:41	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:4:46	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:4:51	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:4:56	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:5:1	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:5:6	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 8:5:11	0.00	0.00	1.05	8.13	-7.08	0
2017-4-17 8:5:16	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:5:21	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:5:26	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:5:31	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 8:5:36	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:5:41	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:5:46	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 8:5:51	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:5:56	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:6:1	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:6:6	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:6:11	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 8:6:16	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 8:6:21	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:6:26	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:6:31	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:6:36	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:6:41	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:6:46	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:6:51	0.00	0.00	1.05	8.18	-7.13	0
2017-4-17 8:6:56	0.00	0.00	1.05	8.12	-7.07	0
2017-4-17 8:7:1	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:7:6	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:7:11	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:7:16	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:7:22	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:7:27	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:7:32	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:7:37	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:7:42	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 8:7:47	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 8:7:52	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:7:57	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:8:2	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 8:8:7	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:8:12	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 8:8:17	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:8:22	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 8:8:27	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 8:8:32	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 8:8:37	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 8:8:42	0.00	0.00	1.05	8.09	-7.04	0
