Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 24:4:5	0.00	0.00	1.05	0.07	0.98	1
2017-4-17 24:4:10	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:4:15	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:4:20	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:4:25	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:4:30	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:4:35	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:4:40	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:4:45	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:4:50	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:4:55	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:0	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:5	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:10	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:15	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:20	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:25	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:30	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:35	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:40	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:46	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:51	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:5:56	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:1	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:6	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:11	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:16	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:21	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:26	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:31	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:36	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:41	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:46	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:51	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:6:56	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:7:1	0.00	0.00	1.05	1.74	-0.69	0
2017-4-17 24:7:6	0.00	0.00	1.05	1.74	-0.69	0
