Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 20:4:17	0.00	0.00	1.05	0.07	0.98	1
2017-4-17 20:4:22	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 20:4:27	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 20:4:32	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 20:4:37	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 20:4:42	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 20:4:47	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 20:4:52	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 20:4:57	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 20:5:2	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 20:5:7	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 20:5:12	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 20:5:17	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 20:5:22	0.00	0.00	1.05	8.17	-7.12	0
2017-4-17 20:5:27	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 20:5:32	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 20:5:37	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 20:5:42	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 20:5:47	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 20:5:52	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 20:5:57	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 20:6:2	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 20:6:7	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 20:6:12	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 20:6:17	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 20:6:22	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 20:6:27	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 20:6:32	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 20:6:37	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 20:6:42	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 20:6:47	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 20:6:52	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 20:6:57	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 20:7:2	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 20:7:7	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 20:7:12	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 20:7:17	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 20:7:22	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 20:7:27	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 20:7:32	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 20:7:37	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 20:7:42	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 20:7:47	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 20:7:52	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 20:7:57	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 20:8:2	0.00	0.00	1.05	8.13	-7.08	0
2017-4-17 20:8:7	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 20:8:12	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 20:8:17	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 20:8:22	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 20:8:27	0.00	0.00	1.05	8.05	-7.00	0
