Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-18 16:4:17	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:4:23	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:4:28	0,00	0,00	1,05	7,34	-6,29	0
2017-4-18 16:4:33	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:4:38	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:4:43	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:4:48	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:4:53	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:4:58	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:5:3	0,00	0,00	1,05	7,52	-6,47	0
2017-4-18 16:5:8	0,00	0,00	1,05	7,38	-6,33	0
2017-4-18 16:5:13	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:5:18	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:5:23	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:5:28	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:5:33	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:5:38	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:5:43	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:5:48	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:5:53	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:5:58	0,00	0,00	1,05	7,34	-6,29	0
2017-4-18 16:6:3	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:6:8	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:6:13	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:6:18	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:6:23	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:6:28	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:6:33	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:6:38	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:6:43	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:6:48	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:6:53	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:6:58	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:7:3	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:7:8	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:7:13	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:7:18	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:7:23	0,00	0,00	1,05	7,38	-6,33	0
2017-4-18 16:7:28	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:7:33	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:7:38	0,00	0,00	1,05	7,38	-6,33	0
2017-4-18 16:7:43	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:7:48	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:7:53	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:7:58	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:8:3	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:8:8	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:8:13	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:8:18	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:8:23	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:8:28	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:8:33	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:8:38	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:8:43	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:8:48	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:8:53	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:8:58	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:9:3	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:9:8	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:9:13	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:9:18	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:9:23	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:9:28	0,00	0,00	1,05	7,49	-6,44	0
2017-4-18 16:9:33	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:9:38	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:9:43	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:9:48	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:9:53	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:9:58	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:10:3	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:10:8	0,00	0,00	1,05	7,47	-6,42	0
2017-4-18 16:10:13	0,00	0,00	1,05	7,47	-6,42	0
2017-4-18 16:10:18	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:10:23	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:10:28	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:10:33	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:10:38	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:10:43	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:10:48	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:10:53	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:10:58	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:11:3	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:11:8	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:11:13	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:11:18	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:11:23	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:11:28	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:11:33	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:11:38	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:11:43	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:11:48	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:11:53	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:11:58	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:12:3	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:12:8	0,00	0,00	1,05	7,38	-6,33	0
2017-4-18 16:12:13	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:12:18	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:12:23	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:12:28	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:12:33	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:12:38	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:12:43	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:12:48	0,00	0,00	1,05	7,38	-6,33	0
2017-4-18 16:12:53	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:12:58	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:13:3	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:13:8	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:13:13	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:13:18	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:13:23	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:13:28	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:13:33	0,00	0,00	1,05	7,34	-6,29	0
2017-4-18 16:13:38	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:13:44	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:13:49	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:13:54	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:13:59	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:14:4	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:14:9	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:14:14	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:14:19	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:14:24	0,00	0,00	1,05	7,32	-6,27	0
2017-4-18 16:14:29	0,00	0,00	1,05	7,38	-6,33	0
2017-4-18 16:14:34	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:14:39	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:14:44	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:14:49	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:14:54	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:14:59	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:15:4	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:15:9	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:15:14	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:15:19	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:15:24	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:15:29	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:15:34	0,00	0,00	1,05	7,47	-6,42	0
2017-4-18 16:15:39	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:15:44	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:15:49	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:15:54	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:15:59	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:16:4	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:16:9	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:16:14	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:16:19	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:16:24	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:16:29	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:16:34	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:16:39	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:16:44	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:16:49	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:16:54	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:16:59	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:17:4	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:17:9	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:17:14	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:17:19	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:17:24	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:17:29	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:17:34	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:17:39	0,00	0,00	1,05	7,41	-6,36	0
2017-4-18 16:17:44	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:17:49	0,00	0,00	1,05	7,43	-6,38	0
2017-4-18 16:17:54	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:17:59	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:18:4	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:18:9	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:18:14	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:18:19	0,00	0,00	1,05	7,33	-6,28	0
2017-4-18 16:18:24	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:18:29	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:18:34	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:18:39	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:18:44	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:18:49	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:18:54	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:18:59	0,00	0,00	1,05	7,38	-6,33	0
2017-4-18 16:19:4	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:19:9	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:19:14	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:19:19	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:19:24	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:19:29	0,00	0,00	1,05	7,35	-6,30	0
2017-4-18 16:19:34	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:19:39	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:19:44	0,00	0,00	1,05	7,36	-6,31	0
2017-4-18 16:19:49	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:19:54	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:19:59	0,00	0,00	1,05	7,48	-6,43	0
2017-4-18 16:20:4	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:20:9	0,00	0,00	1,05	7,45	-6,40	0
2017-4-18 16:20:14	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:20:19	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:20:24	0,00	0,00	1,05	7,48	-6,43	0
2017-4-18 16:20:29	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:20:34	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:20:39	0,00	0,00	1,05	7,44	-6,39	0
2017-4-18 16:20:44	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:20:49	0,00	0,00	1,05	7,46	-6,41	0
2017-4-18 16:20:54	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:20:59	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:21:4	0,00	0,00	1,05	7,37	-6,32	0
2017-4-18 16:21:9	0,00	0,00	1,05	7,40	-6,35	0
2017-4-18 16:21:14	0,00	0,00	1,05	7,39	-6,34	0
2017-4-18 16:21:19	0,00	0,00	1,05	7,42	-6,37	0
2017-4-18 16:21:24	0,00	0,00	1,05	7,44	-6,39	0
