Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 12:4:20	0.00	0.00	1.05	0.07	0.98	1
2017-4-17 12:4:25	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 12:4:30	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 12:4:35	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:4:40	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 12:4:45	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 12:4:50	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 12:4:55	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 12:5:0	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 12:5:5	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 12:5:10	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:5:15	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 12:5:20	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:5:25	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:5:30	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 12:5:35	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 12:5:40	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:5:45	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 12:5:50	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 12:5:55	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 12:6:0	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 12:6:5	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 12:6:10	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:6:15	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 12:6:20	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:6:25	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 12:6:30	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 12:6:35	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:6:41	0.00	0.00	1.05	7.96	-6.91	0
2017-4-17 12:6:46	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:6:51	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 12:6:56	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:7:1	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:7:6	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:7:11	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 12:7:16	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:7:21	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 12:7:26	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 12:7:31	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 12:7:36	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 12:7:41	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:7:46	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 12:7:51	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:7:56	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 12:8:1	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 12:8:6	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:8:11	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:8:16	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:8:21	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 12:8:26	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 12:8:31	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:8:36	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 12:8:41	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 12:8:46	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 12:8:51	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 12:8:56	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 12:9:1	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:9:6	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:9:11	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 12:9:16	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 12:9:21	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 12:9:26	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 12:9:31	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:9:36	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:9:41	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 12:9:46	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 12:9:51	0.00	0.00	1.05	8.03	-6.98	0
