Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-18 20:4:17	0,00	0,00	1,05	0,07	0,98	1
2017-4-18 20:4:23	0,00	0,00	1,05	4,79	-3,74	0
2017-4-18 20:4:28	0,00	0,00	1,05	4,80	-3,75	0
2017-4-18 20:4:33	0,00	0,00	1,05	4,78	-3,73	0
2017-4-18 20:4:38	0,00	0,00	1,05	4,76	-3,71	0
2017-4-18 20:4:43	0,00	0,00	1,05	4,85	-3,80	0
2017-4-18 20:4:48	0,00	0,00	1,05	4,86	-3,81	0
2017-4-18 20:4:53	0,00	0,00	1,05	4,84	-3,79	0
2017-4-18 20:4:58	0,00	0,00	1,05	4,82	-3,77	0
2017-4-18 20:5:3	0,00	0,00	1,05	4,72	-3,67	0
2017-4-18 20:5:8	0,00	0,00	1,05	4,82	-3,77	0
2017-4-18 20:5:13	0,00	0,00	1,05	4,72	-3,67	0
2017-4-18 20:5:18	0,00	0,00	1,05	4,80	-3,75	0
2017-4-18 20:5:23	0,00	0,00	1,05	4,79	-3,74	0
2017-4-18 20:5:28	0,00	0,00	1,05	4,77	-3,72	0
2017-4-18 20:5:33	0,00	0,00	1,05	4,79	-3,74	0
2017-4-18 20:5:38	0,00	0,00	1,05	4,80	-3,75	0
2017-4-18 20:5:43	0,00	0,00	1,05	4,76	-3,71	0
2017-4-18 20:5:48	0,00	0,00	1,05	4,83	-3,78	0
2017-4-18 20:5:53	0,00	0,00	1,05	4,83	-3,78	0
2017-4-18 20:5:58	0,00	0,00	1,05	4,74	-3,69	0
2017-4-18 20:6:3	0,00	0,00	1,05	4,83	-3,78	0
2017-4-18 20:6:8	0,00	0,00	1,05	4,83	-3,78	0
2017-4-18 20:6:13	0,00	0,00	1,05	4,71	-3,66	0
2017-4-18 20:6:18	0,00	0,00	1,05	4,82	-3,77	0
2017-4-18 20:6:23	0,00	0,00	1,05	4,70	-3,65	0
2017-4-18 20:6:28	0,00	0,00	1,05	4,70	-3,65	0
2017-4-18 20:6:33	0,00	0,00	1,05	4,82	-3,77	0
