Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 4:4:19	0.00	0.00	1.05	0.07	0.98	1
2017-4-17 4:4:24	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:4:29	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 4:4:34	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 4:4:39	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:4:44	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:4:49	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:4:54	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:4:59	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:5:4	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 4:5:9	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:5:14	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:5:19	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 4:5:24	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:5:29	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 4:5:34	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:5:39	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:5:44	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:5:49	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:5:54	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:5:59	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:6:4	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 4:6:9	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 4:6:14	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 4:6:19	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:6:24	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 4:6:29	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:6:34	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:6:39	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 4:6:44	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:6:49	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 4:6:54	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:6:59	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:7:4	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:7:9	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:7:14	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:7:19	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 4:7:24	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:7:29	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:7:34	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:7:39	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:7:44	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:7:49	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 4:7:54	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 4:7:59	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:8:4	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:8:9	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:8:14	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 4:8:20	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 4:8:25	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 4:8:30	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:8:35	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 4:8:40	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:8:45	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:8:50	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:8:55	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 4:9:0	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:9:5	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:9:10	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:9:15	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 4:9:20	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:9:25	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 4:9:30	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:9:35	0.00	0.00	1.05	8.13	-7.08	0
2017-4-17 4:9:40	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:9:45	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 4:9:50	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:9:55	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 4:10:0	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:10:5	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:10:10	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:10:15	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 4:10:20	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 4:10:25	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 4:10:30	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 4:10:35	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 4:10:40	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 4:10:45	0.00	0.00	1.05	8.06	-7.01	0
