Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-17 16:4:15	0.00	0.00	1.05	0.07	0.98	1
2017-4-17 16:4:21	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 16:4:26	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 16:4:31	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 16:4:36	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 16:4:41	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 16:4:46	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 16:4:51	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 16:4:56	0.00	0.00	1.05	8.00	-6.95	0
2017-4-17 16:5:1	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:5:6	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 16:5:11	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 16:5:16	0.00	0.00	1.05	7.97	-6.92	0
2017-4-17 16:5:21	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 16:5:26	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:5:31	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 16:5:36	0.00	0.00	1.05	8.01	-6.96	0
2017-4-17 16:5:41	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 16:5:46	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 16:5:51	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 16:5:56	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:6:1	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:6:6	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 16:6:11	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 16:6:16	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 16:6:21	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 16:6:26	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 16:6:31	0.00	0.00	1.05	8.00	-6.95	0
2017-4-17 16:6:36	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 16:6:41	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:6:46	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 16:6:51	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 16:6:56	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:7:1	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:7:6	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 16:7:11	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 16:7:16	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 16:7:21	0.00	0.00	1.05	8.05	-7.00	0
2017-4-17 16:7:26	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 16:7:31	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 16:7:36	0.00	0.00	1.05	8.04	-6.99	0
2017-4-17 16:7:41	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 16:7:46	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:7:51	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 16:7:56	0.00	0.00	1.05	8.00	-6.95	0
2017-4-17 16:8:1	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:8:6	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 16:8:11	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 16:8:16	0.00	0.00	1.05	8.10	-7.05	0
2017-4-17 16:8:21	0.00	0.00	1.05	8.11	-7.06	0
2017-4-17 16:8:26	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 16:8:31	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:8:36	0.00	0.00	1.05	7.99	-6.94	0
2017-4-17 16:8:41	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 16:8:46	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 16:8:51	0.00	0.00	1.05	8.03	-6.98	0
2017-4-17 16:8:56	0.00	0.00	1.05	8.02	-6.97	0
2017-4-17 16:9:1	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 16:9:6	0.00	0.00	1.05	8.08	-7.03	0
2017-4-17 16:9:11	0.00	0.00	1.05	8.07	-7.02	0
2017-4-17 16:9:16	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 16:9:21	0.00	0.00	1.05	8.09	-7.04	0
2017-4-17 16:9:26	0.00	0.00	1.05	8.06	-7.01	0
2017-4-17 16:9:31	0.00	0.00	1.05	8.08	-7.03	0
