Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	napaka	ventil
2017-4-18 12:4:15	0,00	0,00	1,05	0,07	0,98	1
2017-4-18 12:4:21	0,00	0,00	1,05	8,17	-7,12	0
2017-4-18 12:4:26	0,00	0,00	1,05	8,04	-6,99	0
2017-4-18 12:4:31	0,00	0,00	1,05	8,07	-7,02	0
2017-4-18 12:4:36	0,00	0,00	1,05	8,04	-6,99	0
2017-4-18 12:4:41	0,00	0,00	1,05	8,08	-7,03	0
2017-4-18 12:4:46	0,00	0,00	1,05	8,06	-7,01	0
2017-4-18 12:4:51	0,00	0,00	1,05	8,05	-7,00	0
2017-4-18 12:4:56	0,00	0,00	1,05	8,06	-7,01	0
2017-4-18 12:5:1	0,00	0,00	1,05	8,07	-7,02	0
2017-4-18 12:5:6	0,00	0,00	1,05	8,03	-6,98	0
2017-4-18 12:5:11	0,00	0,00	1,05	8,03	-6,98	0
2017-4-18 12:5:16	0,00	0,00	1,05	8,09	-7,04	0
2017-4-18 12:5:21	0,00	0,00	1,05	8,08	-7,03	0
2017-4-18 12:5:26	0,00	0,00	1,05	8,16	-7,11	0
2017-4-18 12:5:31	0,00	0,00	1,05	8,05	-7,00	0
2017-4-18 12:5:36	0,00	0,00	1,05	8,06	-7,01	0
2017-4-18 12:5:41	0,00	0,00	1,05	8,10	-7,05	0
2017-4-18 12:5:46	0,00	0,00	1,05	8,09	-7,04	0
2017-4-18 12:5:51	0,00	0,00	1,05	8,10	-7,05	0
2017-4-18 12:5:56	0,00	0,00	1,05	8,09	-7,04	0
2017-4-18 12:6:1	0,00	0,00	1,05	8,05	-7,00	0
2017-4-18 12:6:6	0,00	0,00	1,05	8,10	-7,05	0
2017-4-18 12:6:11	0,00	0,00	1,05	8,05	-7,00	0
2017-4-18 12:6:16	0,00	0,00	1,05	8,05	-7,00	0
2017-4-18 12:6:21	0,00	0,00	1,05	8,07	-7,02	0
2017-4-18 12:6:26	0,00	0,00	1,05	8,05	-7,00	0
2017-4-18 12:6:31	0,00	0,00	1,05	8,05	-7,00	0
2017-4-18 12:6:36	0,00	0,00	1,05	8,09	-7,04	0
2017-4-18 12:6:41	0,00	0,00	1,05	8,06	-7,01	0
2017-4-18 12:6:46	0,00	0,00	1,05	8,04	-6,99	0
2017-4-18 12:6:51	0,00	0,00	1,05	8,04	-6,99	0
2017-4-18 12:6:56	0,00	0,00	1,05	8,09	-7,04	0
2017-4-18 12:7:1	0,00	0,00	1,05	8,03	-6,98	0
2017-4-18 12:7:6	0,00	0,00	1,05	8,05	-7,00	0
2017-4-18 12:7:11	0,00	0,00	1,05	8,10	-7,05	0
2017-4-18 12:7:16	0,00	0,00	1,05	8,05	-7,00	0
2017-4-18 12:7:21	0,00	0,00	1,05	8,11	-7,06	0
2017-4-18 12:7:26	0,00	0,00	1,05	8,09	-7,04	0
2017-4-18 12:7:31	0,00	0,00	1,05	8,09	-7,04	0
2017-4-18 12:7:36	0,00	0,00	1,05	8,08	-7,03	0
2017-4-18 12:7:41	0,00	0,00	1,05	8,08	-7,03	0
2017-4-18 12:7:46	0,00	0,00	1,05	8,11	-7,06	0
2017-4-18 12:7:51	0,00	0,00	1,05	8,09	-7,04	0
2017-4-18 12:7:56	0,00	0,00	1,05	8,14	-7,09	0
2017-4-18 12:8:1	0,00	0,00	1,05	8,16	-7,11	0
2017-4-18 12:8:6	0,00	0,00	1,05	8,16	-7,11	0
2017-4-18 12:8:11	0,00	0,00	1,05	8,26	-7,21	0
2017-4-18 12:8:16	0,00	0,00	1,05	8,16	-7,11	0
2017-4-18 12:8:21	0,00	0,00	1,05	8,19	-7,14	0
2017-4-18 12:8:26	0,00	0,00	1,05	8,16	-7,11	0
2017-4-18 12:8:31	0,00	0,00	1,05	8,16	-7,11	0
2017-4-18 12:8:36	0,00	0,00	1,05	8,12	-7,07	0
2017-4-18 12:8:41	0,00	0,00	1,05	8,16	-7,11	0
2017-4-18 12:8:46	0,00	0,00	1,05	8,11	-7,06	0
2017-4-18 12:8:51	0,00	0,00	1,05	8,09	-7,04	0
2017-4-18 12:8:56	0,00	0,00	1,05	8,16	-7,11	0
2017-4-18 12:9:1	0,00	0,00	1,05	8,11	-7,06	0
2017-4-18 12:9:6	0,00	0,00	1,05	8,14	-7,09	0
2017-4-18 12:9:11	0,00	0,00	1,05	8,12	-7,07	0
2017-4-18 12:9:16	0,00	0,00	1,05	8,16	-7,11	0
2017-4-18 12:9:21	0,00	0,00	1,05	8,19	-7,14	0
2017-4-18 12:9:26	0,00	0,00	1,05	8,15	-7,10	0
2017-4-18 12:9:31	0,00	0,00	1,05	8,25	-7,20	0
2017-4-18 12:9:36	0,00	0,00	1,05	8,18	-7,13	0
2017-4-18 12:9:41	0,00	0,00	1,05	8,19	-7,14	0
2017-4-18 12:9:46	0,00	0,00	1,05	8,20	-7,15	0
2017-4-18 12:9:51	0,00	0,00	1,05	8,19	-7,14	0
2017-4-18 12:9:56	0,00	0,00	1,05	8,20	-7,15	0
2017-4-18 12:10:1	0,00	0,00	1,05	8,24	-7,19	0
2017-4-18 12:10:6	0,00	0,00	1,05	8,23	-7,18	0
2017-4-18 12:10:11	0,00	0,00	1,05	8,21	-7,16	0
