Streznik tece na http://192.168.2.9 oz http://193.77.211.143
Incoming Request from: 192.168.2.1 for href: /
Incoming Request from: 192.168.2.1 for href: /canvas3d.js
Incoming Request from: 192.168.2.1 for href: /spremeni.js
Incoming Request from: 192.168.2.1 for href: /ajaxtle&nocache=821295.3182134737
Incoming Request from: 192.168.2.1 for href: /ajaxtle&nocache=358718.31346761243
Incoming Request from: 89.142.55.18 for href: /
Incoming Request from: 89.142.55.18 for href: /canvas3d.js
Incoming Request from: 89.142.55.18 for href: /spremeni.js
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=768941.2821539993
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=896521.3347661576
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=81469.17546259091
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=340652.3506010966
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=664704.9528043045
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=950145.7985188517
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=804230.7524294863
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=898845.6621693994
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=977761.6102221982
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=738359.7366750047
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=860611.0675807208
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=626845.5367505979
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=731395.9925841709
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=498908.20976091386
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=95500.55178922157
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=778269.8948442104
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=485140.68692202563
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=324445.7703005199
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=632453.4779375644
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=222201.92399228123
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=969459.8148022648
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=679615.0135992862
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=593821.8676176097
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=890770.314932116
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=443677.1764692067
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=151909.03331659356
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=333132.8180128863
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=986996.868903454
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=334699.23691488156
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=52600.31726223202
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=414960.2002775836
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=648211.996616523
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=469069.2096091349
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=96381.38314829803
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=218505.92950633517
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=763106.6876857213
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=809067.2758884847
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=477994.73714115727
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=405382.7824376519
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=743834.5347441621
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=851049.243573172
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=203353.26903336993
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=910294.0033088375
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=41477.11809190846
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=596971.7100685856
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=565680.8651097214
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=581179.7811027131
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=508984.60616743105
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=491533.0942502811
Incoming Request from: 89.142.55.18 for href: /ajaxtle&nocache=848037.2286146336
Incoming Request from: 66.249.93.28 for href: /
Incoming Request from: 66.249.93.28 for href: /canvas3d.js
Incoming Request from: 66.249.93.26 for href: /spremeni.js
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=452954.81919037894
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=132430.36488053895
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=603165.2477061078
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=278652.86572402145
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=517377.8614961724
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=349935.27138177626
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=913063.7725685426
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=715457.6655529474
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=137315.595278227
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=78998.66629038322
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=960049.9966203981
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=235544.76627538755
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=963841.2973429486
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=363282.0136518373
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=40340.854736441666
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=256592.67129232944
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=30197.343638435294
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=790098.5486361695
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=672019.9175576356
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=7624.8203507582875
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=987086.3391203904
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=363887.7440109012
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=459117.31137626787
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=436329.56890772155
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=560538.609597563
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=840870.7726555349
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=516169.32055687025
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=4339.533948216845
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=918992.9434580159
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=34604.552113804755
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=679773.1455913278
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=87136.81271119356
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=47948.79230459492
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=996019.7262575941
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=961470.4840488107
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=882143.961551535
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=110789.72425134225
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=273355.13086201943
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=195721.44197896722
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=759626.007327618
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=930420.894579273
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=968058.3412486401
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=463523.2277317716
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=251652.5080294767
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=510911.9168724836
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=860848.2367904484
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=998092.4875276465
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=263902.5273129647
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=792275.1340682257
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=333061.9102411376
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=927573.4577582435
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=7369.199809683202
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=300071.5716307822
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=43851.46553929209
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=983902.3158114452
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=904877.6891318337
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=793358.3121347293
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=27532.44279114253
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=690068.5693625221
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=128104.51224587749
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=654166.9086797837
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=508406.57319802407
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=295249.7675869248
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=72114.08997463397
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=737546.334481806
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=673077.3993752816
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=562839.0154358194
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=109724.77688704463
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=959463.7680686193
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=723374.7417556811
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=548711.6242442776
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=887194.7278783787
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=265251.13764374476
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=110963.25965838361
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=769552.5772007976
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=397074.31123779877
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=809874.4028482228
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=106605.25372661267
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=857773.0116207902
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=139609.0215351089
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=23493.200018200656
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=362524.0892512203
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=235025.68617418106
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=66841.28323848081
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=522217.89350518264
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=893485.6123627704
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=251793.488820949
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=40420.512547262755
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=211012.4047195874
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=988328.7016318582
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=146243.8865119049
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=237935.9259487228
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=755407.3231753311
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=363287.1081538986
Incoming Request from: 66.249.93.29 for href: /ajaxtle&nocache=496614.5006642382
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=928851.2698992227
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=577853.4665516377
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=139404.8316642309
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=524203.65272311756
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=786956.7165094821
Incoming Request from: 146.185.239.115 for href: /
Incoming Request from: 146.185.239.115 for href: /
Incoming Request from: 146.185.239.115 for href: /nice%20ports%2C/Tri%6Eity.txt%2ebak
pošiljam 404 Error: ENOENT, open '/root/nice%20ports%2C'
Incoming Request from: 191.96.249.97 for href: /phpmyadmin/scripts/setup.php
pošiljam 404 Error: ENOENT, open '/root/phpmyadmin'
Incoming Request from: 192.168.2.1 for href: /ajaxtle&nocache=421804.3070165349
Incoming Request from: 192.168.2.1 for href: /ajaxtle&nocache=432188.2823729776
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=992802.1165583256
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=109169.82360008798
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=11063.320894887818
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=445022.5328726725
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=582012.769724496
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=996717.3988906961
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=935591.1446154035
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=895034.7088661235
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=683266.1901827133
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=699991.9404345329
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=677869.7634286645
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=960713.859835773
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=744075.719715032
Incoming Request from: 66.249.93.27 for href: /ajaxtle&nocache=204420.03832497456
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=530071.2501736972
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=94340.00121622744
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=793275.3883740616
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=143810.10617599598
Incoming Request from: 66.249.93.26 for href: /ajaxtle&nocache=994187.1371131055
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=374938.8230768498
Incoming Request from: 66.249.93.28 for href: /ajaxtle&nocache=917609.985014608
